run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_fc2_seconds,decrypt_seconds,online_total_seconds
1112,least_squares_d5_I2,949,1,1,1112,0.012710099996183999,0.22019310000177938,0.007853599992813542,0.24075679999077693
1113,least_squares_d5_I1,120,5,25,1113,0.012647399998968467,0.22023110000009183,0.007819399994332343,0.24069789999339264
1114,least_squares_d3_I1,589,4,5,1114,0.009509499999694526,0.16884569999820087,0.007777699996950105,0.1861328999948455
1115,least_squares_d5_I2,411,7,18,1115,0.012494599999627098,0.21932899999956135,0.007898300013039261,0.2397219000122277
1116,chebyshev_d5_I1,949,1,12,1116,0.012722400002530776,0.22036420000949875,0.007817899997462519,0.24090450000949204
1117,chebyshev_d5_I2,586,0,16,1117,0.01257360000454355,0.21869330000481568,0.007764800000586547,0.23903170000994578
1118,chebyshev_d5_I2,112,3,6,1118,0.01257509998686146,0.2195138999959454,0.007926099991891533,0.2400150999746984
1119,least_squares_d5_I1,120,5,21,1119,0.012598800007253885,0.21992669999599457,0.007771200005663559,0.240296700008912
1120,chebyshev_d3_I1,120,5,29,1120,0.009576900003594346,0.1704126999975415,0.007812299998477101,0.18780189999961294
1121,chebyshev_d5_I1,120,5,19,1121,0.012573100000736304,0.2176885999942897,0.007854000010411255,0.23811570000543725
1122,chebyshev_d5_I2,120,5,3,1122,0.01246710000850726,0.21836129999428522,0.008094599994365126,0.2389229999971576
1123,chebyshev_d3_I1,481,9,11,1123,0.009399700007634237,0.1691069999942556,0.007691599996178411,0.18619829999806825
1124,chebyshev_d3_I1,633,2,26,1124,0.009422999995877035,0.169487899998785,0.007848499997635372,0.1867593999922974
1125,least_squares_d3_I1,603,8,4,1125,0.009450800003833137,0.168087000012747,0.007832999996026047,0.1853708000126062
1126,least_squares_d5_I2,603,8,7,1126,0.012580000009620562,0.22001210000598803,0.007832299990695901,0.2404244000063045
1127,chebyshev_d5_I1,949,1,10,1127,0.01264689999516122,0.21958770000492223,0.0078977999946801,0.24013239999476355
1128,least_squares_d3_I1,949,1,5,1128,0.009389900005771779,0.1687258999882033,0.007963900003232993,0.18607969999720808
1129,least_squares_d3_I1,949,1,23,1129,0.009715799998957664,0.1723292999959085,0.008042699992074631,0.1900877999869408
1130,least_squares_d5_I1,586,0,24,1130,0.0129538000037428,0.22365740001259837,0.007893100002547726,0.2445043000188889
